lon,lat,code
-75.783333,78.879997,1E_AXF
-80.778328,79.65667,1E_CNF
-79.576668,80.605003,1E_IBFB
-75.041672,82.648331,1E_MCF
-76.845001,81.41333,1E_TQF
-96.0024,64.3185,CN_BLKN
-86.4158,80.0532,CN_EUNU
-94.0884,58.7592,CN_FCC
-81.8243,69.3712,
-77.962,72.7012,CN_POIN
-94.8962,74.6892,CN_RES
-78.1912,60.808,PO_AKVQ
-84.4616,69.4586,PO_AP3N
-94.0701,61.0976,PO_ARVN
-81.638,69.9945,PO_GIFN
-78.1186,58.4509,PO_INUQ
-91.542,63.1622,
-77.7455,55.2769,PO_KJKQ
-90.0616,68.0898,PO_KUGN
-83.5361,69.1086,PO_LAIN
-92.2977,63.3043,PO_MCMN
-91.0784,65.2146,PO_NUNN
-86.3709,66.6532,PO_QILN
-91.2081,63.2502,
-91.9364,68.5936,PO_SMLN
-79.2254,56.5418,PO_SNQN
-83.3238,68.5513,PO_SRLN
-92.9849,67.3116,PO_STLN
-89.4445,65.8792,PO_WAGN
-92.1095,62.8102,^PO_YRTN
-83.347832,64.188797,X5_CRLN
-82.484642,62.851799,X5_CTSN
-76.530502,64.229942,X5_DORN
-79.591835,62.289333,X5_MANN
-79.373581,71.326279,X5_MARN
-78.135452,63.293659,X5_NOTN
-84.114517,64.576668,X5_SHMN
-85.088692,63.775139,X5_SHWN
