sta,lat,lon,moho_depth,moho_vp,moho_vs,moho_rho
MANN,62.29,-79.59,37505,8456,4897,2513
MARN,71.33,-79.37,44078,8271,5591,2400
SHMN,64.58,-84.11,36951,8130,4934,2650
BLKN,64.32,-96.00,42818,8716,5515,2519
QILN,66.65,-86.37,37956,8816,4923,2878
CTSN,62.85,-82.48,37873,8043,4631,3534
RES,74.69,-94.90,40414,8071,4822,3303
NOTN,63.29,-78.14,42365,8432,4982,2629
JOSN,63.16,-91.54,39268,8167,5134,3591
LAIN,69.11,-83.54,41850,8735,5006,2786
AP3N,69.46,-84.46,44429,8890,4871,3216
WAGN,65.88,-89.44,38868,8566,4889,2472
CNF,79.66,-80.78,30249,8828,4746,3427
GIFN,69.99,-81.64,39255,8832,4753,2384
KUGN,68.09,-90.06,36259,8692,5177,2255
SHWN,63.78,-85.09,36900,8803,4586,2752
MCMN,63.30,-92.30,38314,8298,4982,2906
CRLN,64.19,-83.35,36198,8247,4892,3112
SRLN,68.55,-83.32,42207,8461,4822,2326
SAKN,56.54,-79.23,43465,8158,4682,2922
BULN,66.40,-93.13,44785,8391,5532,3443
ARVN,61.10,-94.07,43834,8234,4839,2378
